state,num_deaths,pct_confirmed,pct_media,pct_survey,pop2010
Alabama,7,85.7,100,0,4779736
Alaska,0,NA,NA,NA,710231
Arkansas,1,100,100,0,2915918
Arizona,10,100,90,10,6392017
California,65,87.7,92.3,7.7,37253956
Colorado,7,100,100,0,5029196
Connecticut,2,100,100,0,3574097
Delaware,0,NA,NA,NA,897934
DC,NA,NA,NA,NA,601723
Florida,26,84.6,96.2,3.8,18801310
Georgia,15,93.3,86.7,13.3,9687653
Hawaii,2,100,100,0,1360301
Iowa,2,100,100,0,3046355
Idaho,2,100,100,0,1567582
Illinois,11,100,81.8,18.2,12830632
Indiana,10,100,100,0,6483802
Kansas,6,66.7,100,0,2853118
Kentucky,10,60,100,0,4339367
Louisiana,7,100,100,0,4533372
Massachusetts,6,100,83.3,16.7,6547629
Maryland,4,100,75,25,5773552
Maine,3,100,33.3,66.7,1328361
Michigan,4,100,100,0,9883640
Minnesota,3,100,100,0,5303925
Missouri,12,83.3,50,50,5988927
Mississippi,3,100,100,0,2967297
Montana,1,100,100,0,989415
North Carolina,10,100,100,0,9535483
North Dakota,0,NA,NA,NA,672591
Nebraska,1,100,100,0,1826341
New Hampshire,1,100,100,0,1316470
New Jersey,7,85.7,100,0,8791894
New Mexico,8,100,87.5,12.5,2059179
Nevada,10,80,90,10,2700551
New York,11,81.8,100,0,19378102
Ohio,16,93.8,75,25,11536504
Oklahoma,10,80,100,0,3751351
Oregon,7,71.4,100,0,3831074
Pennsylvania,13,76.9,92.3,7.7,12702379
Rhode Island,0,NA,NA,NA,1052567
South Carolina,7,100,100,0,4625364
South Dakota,0,NA,NA,NA,814180
Tennessee,9,100,88.9,11.1,6346105
Texas,57,77.2,75.4,24.6,25145561
Utah,6,100,100,0,2763885
Vermont,0,NA,NA,NA,625741
Virginia,7,85.7,100,0,8001024
Washington,11,90.9,72.7,27.3,6724540
Wisconsin,7,100,71.4,28.6,5686986
West Virginia,4,25,100,0,1852994
Wyoming,3,100,100,0,563626
