state,city,Function,date_str,Full-time employees,Part-time employees,Monthly full-time payroll,Average yearly full-time wage,Monthly part-time payroll
Arizona,Mesa,Police Protection - Officers,March 2016,724,0,5210294,86358,0
Arizona,Mesa,Police - Other,March 2016,463,15,2543010,65910,31768
Arizona,Mesa,Firefighters,March 2016,413,0,3012943,87543,0
Arizona,Mesa,Financial Administration,March 2016,333,4,2061119,74275,10354
Arizona,Mesa,Other and Unallocable,March 2016,236,1,1433670,72898,4692
Arizona,Mesa,Parks and Recreation,March 2016,203,299,1004836,59399,163532
Arizona,Mesa,Water Supply,March 2016,157,0,860649,65782,0
Arizona,Mesa,Streets and Highways,March 2016,152,0,783992,61894,0
Arizona,Mesa,Solid Waste Management,March 2016,139,2,726948,62758,5527
Arizona,Mesa,Judicial and Legal,March 2016,137,1,873104,76476,3558
Arizona,Mesa,Fire - Other,March 2016,123,8,765076,74642,16078
Arizona,Mesa,Other Government Administration,March 2016,97,7,631570,78132,15192
Arizona,Mesa,Sewerage,March 2016,91,0,463171,61077,0
Arizona,Mesa,Gas Supply,March 2016,76,0,490243,77407,0
Arizona,Mesa,Welfare,March 2016,62,1,370789,71766,2225
Arizona,Mesa,Local Libraries,March 2016,60,25,287926,57585,26206
Arizona,Mesa,Electric Power,March 2016,41,0,273905,80167,0
Arizona,Mesa,Housing and Community Development (Local),March 2016,40,0,197178,59153,0
Arizona,Mesa,Airports,March 2016,11,0,60357,65844,0
Arizona,Mesa,Transit,March 2016,3,0,19428,77712,0
Arizona,Mesa,Totals for Government,March 2016,NA,363,22070208,74373,279132
Arizona,Phoenix,Police Protection - Officers,March 2016,NA,0,21951673,89144,0
Arizona,Phoenix,Firefighters,March 2016,NA,0,11853622,87750,0
Arizona,Phoenix,Police - Other,March 2016,NA,16,4667462,55675,10619
Arizona,Phoenix,Solid Waste Management,March 2016,993,5,4451840,53799,7191
Arizona,Phoenix,Water Supply,March 2016,980,14,5072874,62117,18080
Arizona,Phoenix,Airports,March 2016,779,0,3943822,60752,0
Arizona,Phoenix,Parks and Recreation,March 2016,633,496,2641659,50079,625041
Arizona,Phoenix,Streets and Highways,March 2016,587,0,2922825,59751,0
Arizona,Phoenix,Other Government Administration,March 2016,530,7,3253816,73671,15049
Arizona,Phoenix,Judicial and Legal,March 2016,457,22,2640843,69344,63526
Arizona,Phoenix,Housing and Community Development (Local),March 2016,434,2,2221504,61424,3158
Arizona,Phoenix,Financial Administration,March 2016,419,1,2807928,80418,648
Arizona,Phoenix,Sewerage,March 2016,332,0,1332646,48168,0
Arizona,Phoenix,Fire - Other,March 2016,320,35,1668719,62577,54540
Arizona,Phoenix,Welfare,March 2016,259,42,1310043,60697,60468
Arizona,Phoenix,Other and Unallocable,March 2016,214,27,1054574,59135,38228
Arizona,Phoenix,Local Libraries,March 2016,162,325,792196,58681,423408
Arizona,Phoenix,Transit,March 2016,93,1,555537,71682,2050
Arizona,Phoenix,Totals for Government,March 2016,NA,993,75143583,70590,1322006
Arizona,Tucson,Police Protection - Officers,March 2016,930,1,5952374,76805,495
Arizona,Tucson,Firefighters,March 2016,642,0,3962212,74060,0
Arizona,Tucson,Water Supply,March 2016,497,7,2324024,56113,17105
Arizona,Tucson,Police - Other,March 2016,376,22,1943682,62032,51698
Arizona,Tucson,Parks and Recreation,March 2016,343,440,1300223,45489,345069
Arizona,Tucson,Other and Unallocable,March 2016,290,3,1305715,54030,2326
Arizona,Tucson,Streets and Highways,March 2016,265,4,1203055,54478,6809
Arizona,Tucson,Financial Administration,March 2016,258,5,1308891,60879,5470
Arizona,Tucson,Judicial and Legal,March 2016,222,6,1062345,57424,17901
Arizona,Tucson,Airports,March 2016,219,27,1199760,65740,15184
Arizona,Tucson,Solid Waste Management,March 2016,218,1,885295,48732,5334
Arizona,Tucson,Housing and Community Development (Local),March 2016,170,2,743794,52503,3978
Arizona,Tucson,Other Government Administration,March 2016,163,20,833137,61335,47660
Arizona,Tucson,Fire - Other,March 2016,127,0,557721,52698,0
Arizona,Tucson,Sewerage,March 2016,3,0,13212,52848,0
Arizona,Tucson,Totals for Government,March 2016,NA,538,24595440,62491,519029
California,Fresno,Police Protection - Officers,March 2016,735,0,6210872,101402,0
California,Fresno,Transit,March 2016,376,12,1732676,55298,24931
California,Fresno,Firefighters,March 2016,293,0,2985229,122262,0
California,Fresno,Police - Other,March 2016,254,35,1054543,49821,82033
California,Fresno,Water Supply,March 2016,246,10,1141947,55705,15053
California,Fresno,Streets and Highways,March 2016,244,27,1293783,63629,42060
California,Fresno,Other and Unallocable,March 2016,173,6,854353,59261,15079
California,Fresno,Solid Waste Management,March 2016,171,2,674682,47346,3016
California,Fresno,Sewerage,March 2016,162,0,811020,60076,0
California,Fresno,Financial Administration,March 2016,96,9,542981,67873,13078
California,Fresno,Airports,March 2016,78,35,393656,60562,78370
California,Fresno,Other Government Administration,March 2016,72,3,460461,76744,1439
California,Fresno,Parks and Recreation,March 2016,67,172,290893,52100,152808
California,Fresno,Fire - Other,March 2016,44,2,226453,61760,2777
California,Fresno,Judicial and Legal,March 2016,32,0,231435,86788,0
California,Fresno,Welfare,March 2016,0,0,0,NA,0
California,Fresno,Housing and Community Development (Local),March 2016,0,0,0,NA,0
California,Fresno,Totals for Government,March 2016,NA,313,18904984,74551,430644
California,Long Beach,Police Protection - Officers,March 2016,850,0,8738189,123363,0
California,Long Beach,Transit,March 2016,696,14,3284547,56630,25433
California,Long Beach,Water Transport and Terminals,March 2016,498,38,3978908,95877,71079
California,Long Beach,Other and Unallocable,March 2016,472,37,3464434,88079,82411
California,Long Beach,Firefighters,March 2016,350,0,4784066,164025,0
California,Long Beach,Health,March 2016,255,43,1416233,66646,110010
California,Long Beach,Police - Other,March 2016,243,75,1374201,67862,155589
California,Long Beach,Parks and Recreation,March 2016,197,445,1071978,65298,555146
California,Long Beach,Gas Supply,March 2016,179,4,1032732,69233,10877
California,Long Beach,Other Government Administration,March 2016,178,50,1233676,83169,136648
California,Long Beach,Water Supply,March 2016,154,24,1168587,91059,68129
California,Long Beach,Fire - Other,March 2016,121,41,779515,77307,32092
California,Long Beach,Financial Administration,March 2016,121,11,843388,83642,22617
California,Long Beach,Judicial and Legal,March 2016,96,10,768468,96059,36954
California,Long Beach,Streets and Highways,March 2016,96,7,552075,69009,17577
California,Long Beach,Solid Waste Management,March 2016,94,24,525335,67064,56110
California,Long Beach,Airports,March 2016,89,4,552467,74490,10130
California,Long Beach,Local Libraries,March 2016,74,90,429507,69650,113276
California,Long Beach,Housing and Community Development (Local),March 2016,66,0,398890,72525,0
California,Long Beach,Sewerage,March 2016,34,1,216531,76423,4015
California,Long Beach,Totals for Government,March 2016,NA,918,36613727,90348,1508093
California,Los Angeles,Police Protection - Officers,March 2016,NA,99,95325292,111448,173618
California,Los Angeles,Electric Power,March 2016,NA,19,66316086,127144,51170
California,Los Angeles,Other and Unallocable,March 2016,NA,232,31444945,82066,379905
California,Los Angeles,Firefighters,March 2016,NA,1,43469735,160701,8224
California,Los Angeles,Airports,March 2016,NA,224,24987506,92518,729080
California,Los Angeles,Water Supply,March 2016,NA,30,28948748,114535,19282
California,Los Angeles,Police - Other,March 2016,NA,1,19050147,84793,3399
California,Los Angeles,Financial Administration,March 2016,NA,400,19298348,88187,930206
California,Los Angeles,Solid Waste Management,March 2016,NA,325,18142839,86808,750027
California,Los Angeles,Other Government Administration,March 2016,NA,NA,19998031,99907,1829144
California,Los Angeles,Streets and Highways,March 2016,NA,500,16901935,89036,513531
California,Los Angeles,Parks and Recreation,March 2016,NA,NA,9373094,72147,4627443
California,Los Angeles,Housing and Community Development (Local),March 2016,NA,84,11394380,96973,165325
California,Los Angeles,Judicial and Legal,March 2016,901,10,9303693,123912,46139
California,Los Angeles,Water Transport and Terminals,March 2016,898,136,8021476,107191,405400
California,Los Angeles,Local Libraries,March 2016,738,616,4463070,72570,975971
California,Los Angeles,Health,March 2016,300,26,1623986,64959,37729
California,Los Angeles,Fire - Other,March 2016,296,2,2257591,91524,1980
California,Los Angeles,Welfare,March 2016,90,238,663714,88495,314883
California,Los Angeles,Totals for Government,March 2016,NA,NA,430984616,104814,11962456
California,Sacramento,Police Protection - Officers,March 2016,641,8,7634374,142921,41128
California,Sacramento,Parks and Recreation,March 2016,556,460,1444653,31180,503117
California,Sacramento,Firefighters,March 2016,531,0,5781028,130645,0
California,Sacramento,Streets and Highways,March 2016,521,12,3223329,74242,24587
California,Sacramento,Water Supply,March 2016,318,5,2167274,81784,6085
California,Sacramento,Police - Other,March 2016,296,130,1952750,79166,238720
California,Sacramento,Other Government Administration,March 2016,167,24,1275734,91670,82252
California,Sacramento,Housing and Community Development (Local),March 2016,151,8,1101691,87552,6986
California,Sacramento,Sewerage,March 2016,148,0,975650,79107,0
California,Sacramento,Solid Waste Management,March 2016,148,1,898032,72813,3716
California,Sacramento,Financial Administration,March 2016,107,0,730677,81945,0
California,Sacramento,Other and Unallocable,March 2016,84,70,415170,59310,97774
California,Sacramento,Judicial and Legal,March 2016,43,0,367591,102584,0
California,Sacramento,Fire - Other,March 2016,36,0,214598,71533,0
California,Sacramento,Totals for Government,March 2016,NA,718,28182551,90256,1004365
California,San Diego,Police Protection - Officers,March 2016,NA,9,16736597,107114,25265
California,San Diego,Other and Unallocable,March 2016,NA,104,8229118,86698,189107
California,San Diego,Parks and Recreation,March 2016,984,663,4649167,56697,758769
California,San Diego,Sewerage,March 2016,928,32,5941540,76830,52184
California,San Diego,Other Government Administration,March 2016,885,70,6073385,82351,102865
California,San Diego,Firefighters,March 2016,856,1,8925296,125121,458
California,San Diego,Water Supply,March 2016,698,69,4134091,71073,140129
California,San Diego,Police - Other,March 2016,489,155,2999762,73614,182249
California,San Diego,Financial Administration,March 2016,368,8,2528705,82458,24501
California,San Diego,Solid Waste Management,March 2016,368,10,2069474,67483,13775
California,San Diego,Judicial and Legal,March 2016,338,21,2569482,91224,77126
California,San Diego,Streets and Highways,March 2016,337,12,1886791,67185,16131
California,San Diego,Local Libraries,March 2016,245,365,1321920,64747,693937
California,San Diego,Fire - Other,March 2016,121,9,807344,80067,17451
California,San Diego,Airports,March 2016,19,0,117264,74061,0
California,San Diego,Totals for Government,March 2016,NA,NA,68989936,85791,2293947
California,San Francisco,Transit,March 2016,NA,265,37751167,85733,517799
California,San Francisco,Police Protection - Officers,March 2016,NA,42,28288438,136935,176218
California,San Francisco,Hospitals,March 2016,NA,NA,16014720,84846,9221906
California,San Francisco,Health,March 2016,NA,627,14969462,88883,3009857
California,San Francisco,Welfare,March 2016,NA,421,12804271,79120,1525424
California,San Francisco,Water Supply,March 2016,NA,82,12926449,100400,208868
California,San Francisco,Judicial and Legal,March 2016,NA,51,13614527,105950,266340
California,San Francisco,Firefighters,March 2016,NA,5,18787329,147352,45502
California,San Francisco,Airports,March 2016,NA,59,10448133,83032,177556
California,San Francisco,Correction,March 2016,NA,92,10716833,86601,229640
California,San Francisco,Other Government Administration,March 2016,NA,125,8752116,85110,185680
California,San Francisco,Parks and Recreation,March 2016,NA,496,6748611,71100,858014
California,San Francisco,Streets and Highways,March 2016,NA,190,7826138,91445,443901
California,San Francisco,Financial Administration,March 2016,880,52,6746143,91993,163950
California,San Francisco,Local Libraries,March 2016,501,514,3097018,74180,1137228
California,San Francisco,Sewerage,March 2016,471,34,3675773,93650,117239
California,San Francisco,Solid Waste Management,March 2016,415,84,2235040,64628,191389
California,San Francisco,Other and Unallocable,March 2016,371,59,2988621,96667,124393
California,San Francisco,Police - Other,March 2016,361,0,2425036,80611,0
California,San Francisco,Electric Power,March 2016,265,20,2157145,97682,62409
California,San Francisco,Water Transport and Terminals,March 2016,252,13,2024067,96384,28551
California,San Francisco,Housing and Community Development (Local),March 2016,191,4,1146026,72002,14095
California,San Francisco,Fire - Other,March 2016,95,6,853044,107753,32023
California,San Francisco,Elementary and Secondary - Instruction,March 2016,0,0,0,NA,0
