city,state,pop2010,black_pop2010,white_pop2010,require deescalation,use force continuum or matrix,restrict holds,require warning,prohibit shooting at moving vehicles,require exhaustion of alternatives,require officer intervention,require reporting,deaths2016
Albuquerque,New Mexico,545852,17933,380552,1,1,0,1,1,0,1,0,5
Anaheim,California,336265,9347,177237,0,1,0,1,0,0,1,0,6
Anchorage,Alaska,291826,16226,192498,1,1,0,0,1,0,0,0,3
Arlington,Texas,365438,68792,215588,1,1,0,0,1,1,0,1,3
Atlanta,Georgia,420003,226894,161115,0,1,1,0,0,0,0,0,4
Aurora,Colorado,325078,51196,198720,0,1,0,0,1,0,1,0,6
Austin,Texas,790390,64406,539760,0,1,0,1,0,0,1,0,10
Bakersfield,California,347483,28368,197349,0,0,0,1,0,0,0,0,7
Baltimore,Maryland,620961,395781,183830,1,1,0,1,0,1,1,1,7
Baton Rouge,Louisiana,229493,125155,90348,0,1,0,0,0,1,0,0,3
Boston,Massachusetts,617594,150437,333033,0,1,1,0,1,1,0,0,3
Buffalo,New York,261310,100774,131753,0,1,0,0,1,1,0,0,0
Chandler,Arizona,236123,11276,173065,1,1,0,1,0,0,0,0,2
Charlotte,North Carolina,731424,256241,365384,0,1,0,1,0,0,0,0,6
Chicago,Illinois,2695598,887608,1212835,1,1,0,0,1,0,0,0,14
Chula Vista,California,243916,11219,130991,0,0,0,1,0,0,1,0,0
Cincinnati,Ohio,296943,133039,146435,1,1,0,1,1,1,0,0,6
Cleveland,Ohio,396815,211672,147929,1,1,1,0,1,0,1,0,2
Columbus,Ohio,787033,220241,483677,0,1,1,1,0,0,0,0,10
Corpus Christi,Texas,305215,13254,246988,1,0,1,1,0,1,1,0,2
Dallas,Texas,1197816,298993,607415,1,1,0,0,0,1,0,0,7
Denver,Colorado,600158,61435,413696,1,1,0,1,0,1,0,0,7
Detroit,Michigan,713777,590226,75758,0,1,1,1,0,1,0,0,1
Durham,North Carolina,228330,93517,96932,1,1,0,0,0,0,0,0,1
Fort Wayne,Indiana,253691,39085,186763,0,1,0,1,1,0,0,0,2
Fort Worth,Texas,741206,140133,452885,0,1,1,0,0,0,0,0,6
