"GEO_ID","NAME","P003001","P003002","P003003","P003004","P003005","P003006","P003007","P003008"
"id","Geographic Area Name","Total","Total!!White alone","Total!!Black or African American alone","Total!!American Indian and Alaska Native alone","Total!!Asian alone","Total!!Native Hawaiian and Other Pacific Islander alone","Total!!Some Other Race alone","Total!!Two or More Races"
"1600000US2032875","Home CDP, Kansas","160","157","0","1","0","0","0","2"
"1600000US2033075","Hope city, Kansas","368","344","9","3","1","0","0","11"
"1600000US2033200","Horton city, Kansas","1776","1466","15","190","9","0","14","82"
"1600000US2033250","Howard city, Kansas","687","653","0","11","3","0","4","16"
"1600000US2033350","Hoxie city, Kansas","1201","1159","0","1","4","0","17","20"
"1600000US2033375","Hoyt city, Kansas","669","572","1","64","8","0","6","18"
"1600000US2033400","Hudson city, Kansas","129","129","0","0","0","0","0","0"
"1600000US2033425","Hugoton city, Kansas","3904","3396","10","33","9","1","394","61"
"1600000US2033575","Huron city, Kansas","54","53","0","0","0","0","0","1"
"1600000US2033450","Humboldt city, Kansas","1953","1835","28","11","0","1","39","39"
"1600000US2033500","Hunnewell city, Kansas","67","62","0","4","0","0","0","1"
"1600000US2033525","Hunter city, Kansas","57","56","0","1","0","0","0","0"
"1600000US2033625","Hutchinson city, Kansas","42080","36968","1821","276","237","8","1425","1345"
"1600000US2033875","Independence city, Kansas","9483","7981","614","156","85","3","218","426"
"1600000US2034225","Ingalls city, Kansas","306","267","1","0","1","0","35","2"
"1600000US2034275","Inman city, Kansas","1377","1322","1","5","4","0","10","35"
"1600000US2034300","Iola city, Kansas","5704","5211","186","46","36","0","45","180"
"1600000US2034550","Isabel city, Kansas","90","87","0","0","0","0","2","1"
"1600000US2035450","Jetmore city, Kansas","867","835","1","1","4","0","15","11"
"1600000US2034625","Iuka city, Kansas","163","158","0","0","0","0","3","2"
"1600000US2034975","Jamestown city, Kansas","286","279","2","2","1","0","1","1"
"1600000US2035375","Jennings city, Kansas","96","95","0","0","0","0","0","1"
"1600000US2035475","Jewell city, Kansas","432","405","0","8","1","0","1","17"
"1600000US2035600","Johnson City city, Kansas","1495","1185","12","21","3","0","237","37"
"1600000US2181624","West Buechel city, Kentucky","1230","619","469","8","20","0","49","65"
"1600000US2181930","West Point city, Kentucky","797","768","5","14","1","0","2","7"
"1600000US2181948","Westport CDP, Kentucky","268","257","3","0","1","0","1","6"
"1600000US2182272","Wheelwright city, Kentucky","780","680","99","0","0","0","1","0"
"1600000US2182146","Westwood CDP, Kentucky","4746","4625","47","10","7","0","4","53"
"1600000US2182164","Westwood city, Kentucky","634","563","35","1","14","0","1","20"
"1600000US2182200","Wheatcroft city, Kentucky","160","151","2","0","0","0","0","7"
"1600000US2182722","White Plains city, Kentucky","884","862","8","0","4","0","0","10"
"1600000US2182776","Whitesburg city, Kentucky","2139","2094","13","6","17","0","2","7"
"1600000US2182830","Whitesville city, Kentucky","552","536","3","0","0","0","2","11"
"1600000US2182938","Whitley City CDP, Kentucky","1170","1140","2","11","2","0","3","12"
"1600000US2183064","Wickliffe city, Kentucky","688","627","27","2","0","0","10","22"
"1600000US2183172","Wilder city, Kentucky","3035","2868","65","3","47","4","8","40"
"1600000US2183424","Willisburg city, Kentucky","282","276","3","0","0","0","1","2"
"1600000US2183208","Wildwood city, Kentucky","261","254","1","1","4","0","1","0"
"1600000US2183334","Williamsburg city, Kentucky","5245","4920","152","6","42","5","23","97"
"1600000US2183406","Williamstown city, Kentucky","3925","3757","70","10","7","14","39","28"
"1600000US2183550","Wilmore city, Kentucky","3686","3354","83","6","176","0","13","54"
"1600000US2183676","Winchester city, Kentucky","18368","16113","1502","30","75","5","289","354"
"1600000US2183784","Windy Hills city, Kentucky","2385","2248","67","3","35","1","18","13"
"1600000US2183856","Wingo city, Kentucky","632","563","45","1","1","0","2","20"
"1600000US2184414","Woodburn city, Kentucky","355","343","6","0","0","0","0","6"
"1600000US2184432","Woodbury city, Kentucky","90","89","0","0","0","0","0","1"
"1600000US2184864","Worthington city, Kentucky","1609","1567","1","2","16","0","8","15"
"1600000US2184486","Woodland Hills city, Kentucky","696","650","30","3","7","0","0","6"
"1600000US2184522","Woodlawn city, Kentucky","229","223","1","0","3","0","0","2"
"1600000US2184576","Woodlawn Park city, Kentucky","942","891","20","0","9","0","2","20"
"1600000US2184891","Worthington Hills city, Kentucky","1446","904","426","4","44","0","11","57"
"1600000US2184900","Worthville city, Kentucky","185","174","3","0","0","0","0","8"
"1600000US2185008","Wurtland city, Kentucky","995","978","3","2","0","0","0","12"
"1600000US2200100","Abbeville city, Louisiana","12257","6132","5029","32","635","0","183","246"
"1600000US2200240","Abita Springs town, Louisiana","2365","2176","106","13","7","2","11","50"
"1600000US2202655","Arcadia town, Louisiana","2919","932","1895","7","17","0","35","33"
"1600000US2202550","Arabi CDP, Louisiana","3635","2959","362","35","47","1","97","134"
"1600000US2200415","Addis town, Louisiana","3593","2483","1022","6","27","0","18","37"
"1600000US2203320","Athens village, Louisiana","249","185","55","2","0","0","0","7"
"1600000US2204055","Ball town, Louisiana","4000","3586","276","25","13","1","32","67"
"1600000US2203810","Avondale CDP, Louisiana","4954","2745","1326","23","574","2","164","120"
"1600000US2203985","Baker city, Louisiana","13895","2852","10739","46","25","0","71","162"
"1600000US2200835","Albany village, Louisiana","1088","1034","42","2","1","0","0","9"
"1600000US2202165","Angie village, Louisiana","251","173","65","0","0","0","3","10"
"1600000US2204020","Baldwin town, Louisiana","2436","731","1615","28","16","1","5","40"
"1600000US2200975","Alexandria city, Louisiana","47723","18288","27322","188","873","8","279","765"
"1600000US2201885","Amite City town, Louisiana","4141","1805","2257","5","23","0","15","36"
"1600000US2203145","Ashland village, Louisiana","269","223","45","0","0","0","0","1"
"1600000US5127200","Falls Church city, Virginia","12332","9853","532","33","1162","4","259","489"
"1600000US5127296","Fancy Gap CDP, Virginia","237","230","0","0","0","0","6","1"
"1600000US5127440","Farmville town, Virginia","8216","5941","1958","29","101","10","52","125"
"1600000US5127712","Ferrum CDP, Virginia","2043","1419","444","13","13","1","139","14"
"1600000US5127744","Fieldale CDP, Virginia","879","811","48","0","1","0","8","11"
"1600000US5127824","Fincastle town, Virginia","353","314","33","0","2","0","4","0"
"1600000US5127968","Fishersville CDP, Virginia","7462","6758","427","16","82","3","42","134"
"1600000US5128496","Flint Hill CDP, Virginia","209","200","7","0","0","0","0","2"
"1600000US5129008","Fort Belvoir CDP, Virginia","7100","4609","1541","43","176","32","179","520"
"1600000US5128528","Floris CDP, Virginia","8375","4883","294","18","2785","6","72","317"
"1600000US5128544","Floyd town, Virginia","425","400","15","2","2","0","0","6"
"1600000US5128688","Forest CDP, Virginia","9106","7996","652","10","277","2","84","85"
"1600000US5129040","Fort Chiswell CDP, Virginia","939","904","9","1","12","0","5","8"
"1600000US5129136","Fort Hunt CDP, Virginia","16045","14698","368","28","449","9","121","372"
"1600000US5129152","Fort Lee CDP, Virginia","3393","1414","1425","12","65","65","178","234"
"1600000US5129552","Franconia CDP, Virginia","18245","10739","3393","69","2635","23","570","816"
"1600000US5129600","Franklin city, Virginia","8582","3380","4884","28","64","2","59","165"
"1600000US5129628","Franklin Farm CDP, Virginia","19288","14766","634","38","2996","7","247","600"
"1600000US5129968","Front Royal town, Virginia","14440","12295","1292","35","204","7","212","395"
"1600000US5129744","Fredericksburg city, Virginia","24286","15596","5498","100","689","17","1437","949"
"1600000US5129840","Free Union CDP, Virginia","193","178","1","2","1","0","4","7"
"1600000US5129920","Fries town, Virginia","484","469","5","1","1","0","1","7"
"1600000US5130176","Gainesville CDP, Virginia","11481","7455","1346","34","1782","7","352","505"
"1600000US5130208","Galax city, Virginia","7042","6044","439","7","37","8","363","144"
"1600000US5130384","Gargatha CDP, Virginia","381","221","128","0","2","4","21","5"
"1600000US5130480","Gasburg CDP, Virginia","481","442","30","1","3","0","3","2"
"1600000US5130496","Gate City town, Virginia","2034","1932","62","10","4","0","8","18"
"1600000US5130618","George Mason CDP, Virginia","9496","6374","893","39","1417","7","333","433"
"1600000US5131056","Glade Spring town, Virginia","1456","1366","70","3","1","0","3","13"
"1600000US5131136","Glasgow town, Virginia","1133","935","153","6","3","0","20","16"
"1600000US5131608","Gloucester Courthouse CDP, Virginia","2951","2498","341","6","38","0","13","55"
"1600000US5131200","Glen Allen CDP, Virginia","14774","9431","3781","36","925","11","228","362"
"1600000US5131376","Glen Lyn town, Virginia","115","115","0","0","0","0","0","0"
"1600000US5131488","Glenvar CDP, Virginia","976","931","37","0","1","1","0","6"
"1600000US5131616","Gloucester Point CDP, Virginia","9402","8287","708","22","83","3","56","243"
"1600000US5131808","Goochland CDP, Virginia","861","728","83","5","21","0","3","21"
"1600000US5131936","Gordonsville town, Virginia","1496","1058","355","0","7","0","38","38"
"1600000US5131968","Goshen town, Virginia","361","354","5","1","0","0","0","1"
"1600000US5132320","Gratton CDP, Virginia","937","913","11","0","4","2","1","6"
"1600000US5132496","Great Falls CDP, Virginia","15427","12424","280","17","2085","3","92","526"
"1600000US5132560","Greenbackville CDP, Virginia","192","183","4","0","0","0","0","5"
"1600000US5132592","Greenbriar CDP, Virginia","8166","5556","440","19","1450","7","369","325"
"1600000US2933706","Humansville city, Missouri","1048","1012","1","6","1","0","2","26"
"1600000US2933724","Hume town, Missouri","336","322","1","0","3","0","2","8"
"1600000US2933760","Hunnewell city, Missouri","184","182","0","1","0","0","0","1"
"1600000US2933778","Hunter CDP, Missouri","168","164","0","0","0","0","0","4"
"1600000US2933850","Huntleigh city, Missouri","334","305","3","0","7","0","9","10"
"1600000US2933868","Huntsdale town, Missouri","31","31","0","0","0","0","0","0"
"1600000US2933886","Huntsville city, Missouri","1564","1449","81","2","4","0","3","25"
"1600000US2933904","Hurdland city, Missouri","163","159","0","0","0","0","0","4"
"1600000US2933922","Hurley city, Missouri","178","176","0","1","0","0","0","1"
"1600000US2935000","Independence city, Missouri","116830","100112","6498","736","1143","815","3745","3781"
"1600000US2934210","Iatan village, Missouri","45","41","3","0","0","0","0","1"
"1600000US2934228","Iberia city, Missouri","736","705","6","8","0","0","5","12"
"1600000US2934354","Imperial CDP, Missouri","4709","4589","12","12","51","1","6","38"
"1600000US2935186","Indian Point village, Missouri","528","509","0","7","1","0","3","8"
"1600000US2935240","Innsbrook village, Missouri","552","539","8","0","0","0","1","4"
"1600000US2935306","Ionia town, Missouri","88","82","1","0","0","0","4","1"
"1600000US2935324","Irena village, Missouri","18","18","0","0","0","0","0","0"
"1600000US2935396","Irondale city, Missouri","445","434","0","1","0","0","0","10"
"1600000US2935648","Jackson city, Missouri","13758","13182","227","37","79","1","44","188"
"1600000US2935450","Iron Mountain Lake city, Missouri","737","709","0","16","1","0","1","10"
"1600000US2935468","Ironton city, Missouri","1460","1404","25","5","1","0","2","23"
"1600000US2935486","Irwin CDP, Missouri","69","68","0","0","0","0","0","1"
"1600000US2936224","Jacksonville village, Missouri","151","148","1","0","0","0","0","2"
"1600000US2936314","Jameson town, Missouri","133","117","0","3","0","0","1","12"
"1600000US2936332","Jamesport city, Missouri","524","503","0","1","2","0","0","18"
"1600000US2936368","Jamestown town, Missouri","386","378","0","0","0","0","0","8"
"1600000US2936512","Jasper city, Missouri","931","903","3","2","5","0","0","18"
"1600000US2937000","Jefferson City city, Missouri","43079","33599","7263","142","755","25","333","962"
"1600000US2937700","Josephville village, Missouri","376","363","4","3","1","0","3","2"
"1600000US2937178","Jennings city, Missouri","14712","1256","13210","21","24","0","35","166"
"1600000US2937214","Jerico Springs village, Missouri","228","220","0","0","0","0","0","8"
"1600000US2937592","Joplin city, Missouri","50150","43954","1657","911","801","154","875","1798"
"1600000US2937736","Junction City village, Missouri","327","317","2","0","0","1","0","7"
"1600000US2937790","Kahoka city, Missouri","2078","2046","5","3","5","0","2","17"
