Bureau of Justice Statistics,,,,,,,,,,,,
Filename: ardppsrsmt02.csv,,,,,,,,,,,,
"Table 2. Agency confirmation response for media-identified deaths, by scope determination, June-August 2015",,,,,,,,,,,,
Report title: Arrest-Related Deaths Program: Pilot Study of Redesigned Survey Methodology  NCJ 252675,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Arrest-Related Deaths Program-Redesign Study, 2015",,,,,,,,,,,,
"Author: Connor Brooks and Kevin M. Scott, Ph.D., BJS Statisticians",,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or (202) 307-0765,,,,,,,,,,,,
Date of version: 07/30/2019,,,,,,,,,,,,
,,,,,,,,,,,,
"Table 2. Agency confirmation response for media-identified deaths, by scope determination, June-August 2015",,,,,,,,,,,,
,,,,,," Through follow up, death determined to be—",,,,,,
,,All media-identified deaths,,,,In-scope,,,,Out-of-scope,,
Agency confirmation response,,Number,Percent of all deaths,,,Number,Percent of agency confirmation response,,,Number,Percent of agency confirmation response,
,Media-identified deaths,388,100,%,,376,96.9,%,,12,3.1,%
Confirmed deaths,,298,76.8,%,,293,98.3,%,,5,1.7,%
,Confirmed by law enforcement agency (LEA) and medical examiner’s/coroner’s office (ME/C),206,53.1,,,203,98.5,,,3,1.5,
,Confirmed by LEA only,51,13.1,,,51,100,,,0,0,
,Confirmed by ME/C only,41,10.6,,,39,95.1,,,2,4.9,
Denied,,62,16,%,,56,90.3,%,,6,9.7,%
,Denied by LEA and ME/C,20,5.2,,,17,85,,,3,15,
,"Denied by one agency, no response from other",12,3.1,,,9,75,,,3,25,
,Conflicting response,30,7.7,,,30,100,,,0,0,
No response from LEA and ME/C,,28,7.2,%,,27,96.4,%,,1,3.6,%
"Source: Bureau of Justice Statistics, Arrest-Related Deaths Program-Redesign Study, 2015.",,,,,,,,,,,,
