Bureau of Justice Statistics,,,,,,,,,,,
Filename: ardppsrsmt06.csv,,,,,,,,,,,
"Table 6. Number of arrest-related deaths, percent confirmed by survey respondents, and death-identification source, by state, June-August 2015",,,,,,,,,,,
Report title: Arrest-Related Deaths Program: Pilot Study of Redesigned Survey Methodology  NCJ 252675,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Arrest-Related Deaths Program-Redesign Study, 2015",,,,,,,,,,,
"Author: Connor Brooks and Kevin M. Scott, Ph.D., BJS Statisticians",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or (202) 307-0765,,,,,,,,,,,
Date of version: 07/30/2019,,,,,,,,,,,
,,,,,,,,,,,
"Table 6. Number of arrest-related deaths, percent confirmed by survey respondents, and death-identification source, by state, June-August 2015",,,,,,,,,,,
,,,,,,,Death-identification source,,,,
State,,Number of deaths that met Arrest-Related Deaths program-eligibility criteria,,Percent of deaths confirmed by at least one survey respondent*,,,Percent of deaths initially identified through media review,,,Percent of deaths initially identified by survey respondent,
,All arrest-related deaths,424,,87.5,%,,88.7,%,,11.3,%
Alabama,,7,,85.7,,,100,,,0,
Arkansas,,1,,100,,,100,,,0,
Arizona,,10,,100,,,90,,,10,
California,,65,,87.7,,,92.3,,,7.7,
Colorado,,7,,100,,,100,,,0,
Connecticut,,2,,100,,,100,,,0,
Florida,,26,,84.6,,,96.2,,,3.8,
Georgia,,15,,93.3,,,86.7,,,13.3,
Hawaii,,2,,100,,,100,,,0,
Iowa,,2,,100,,,100,,,0,
Idaho,,2,,100,,,100,,,0,
Illinois,,11,,100,,,81.8,,,18.2,
Indiana,,10,,100,,,100,,,0,
Kansas,,6,,66.7,,,100,,,0,
Kentucky,,10,,60,,,100,,,0,
Louisiana,,7,,100,,,100,,,0,
Massachusetts,,6,,100,,,83.3,,,16.7,
Maryland,,4,,100,,,75,,,25,
Maine,,3,,100,,,33.3,,,66.7,
Michigan,,4,,100,,,100,,,0,
Minnesota,,3,,100,,,100,,,0,
Missouri,,12,,83.3,,,50,,,50,
Mississippi,,3,,100,,,100,,,0,
Montana,,1,,100,,,100,,,0,
North Carolina,,10,,100,,,100,,,0,
Nebraska,,1,,100,,,100,,,0,
New Hampshire,,1,,100,,,100,,,0,
New Jersey,,7,,85.7,,,100,,,0,
New Mexico,,8,,100,,,87.5,,,12.5,
Nevada,,10,,80,,,90,,,10,
New York,,11,,81.8,,,100,,,0,
Ohio,,16,,93.8,,,75,,,25,
Oklahoma,,10,,80,,,100,,,0,
Oregon,,7,,71.4,,,100,,,0,
Pennsylvania,,13,,76.9,,,92.3,,,7.7,
South Carolina,,7,,100,,,100,,,0,
Tennessee,,9,,100,,,88.9,,,11.1,
Texas,,57,,77.2,,,75.4,,,24.6,
Utah,,6,,100,,,100,,,0,
Virginia,,7,,85.7,,,100,,,0,
Washington,,11,,90.9,,,72.7,,,27.3,
Wisconsin,,7,,100,,,71.4,,,28.6,
West Virginia,,4,,25,,,100,,,0,
Wyoming,,3,,100,,,100,,,0,
Note: States not listed had no identified arrest-related deaths during June-August 2015.,,,,,,,,,,,
*Deaths were initially identified by a survey respondent or were confirmed by either the law enforcement agency or medical examiner’s/coroner’s office respondent associated with a media-identified death.,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Arrest-Related Deaths Program-Redesign Study, 2015.",,,,,,,,,,,
