Bureau of Justice Statistics,,,,,,,
Filename: ardppsrsmt08.csv,,,,,,,
"Table 8. Percent of valid, missing, and unknown responses for CJ-12A measures, June-August 2015",,,,,,,
Report title: Arrest-Related Deaths Program: Pilot Study of Redesigned Survey Methodology  NCJ 252675,,,,,,,
"Data source: Bureau of Justice Statistics, Arrest-Related Deaths Program-Redesign Study, 2015",,,,,,,
"Author: Connor Brooks and Kevin M. Scott, Ph.D., BJS Statisticians",,,,,,,
Refer questions to: askbjs@usdoj.gov or (202) 307-0765,,,,,,,
Date of version: 07/30/2019,,,,,,,
,,,,,,,
"Table 8. Percent of valid, missing, and unknown responses for CJ-12A measures, June-August 2015",,,,,,,
Question,,Answered,,Not answered,,Marked as unknown,
Cause of death,,92.5,%,7.5,%,0,%
Manner of death,,94.8,%,1.6,%,3.6,%
Type of location,,96.4,%,3,%,0.7,%
Decedent characteristics,,,,,,,
,Sex,99,%,1,%,0,%
,Race,93.1,,2.6,,4.3,
,Hispanic origin,90.8,,2.6,,6.6,
,Age/date-of-birth,95.4,,4.6,,0,
Law enforcement officer homicide,,44.9,%,45.9,%,9.2,%
Substances found,,52.1,%,47.9,%,0,%
Weapon caused death,,95.1,%,3.3,%,1.6,%
Note: Details may not sum to totals due to rounding. CJ-12A incident forms were completed for 282 of the 424 arrest-related deaths. Percentages are of all deaths with a completed CJ-12A form.,,,,,,,
"Source: Bureau of Justice Statistics, Arrest-Related Deaths Program-Redesign Study, 2015.",,,,,,,
