Bureau of Justice Statistics,,,,,,,,,,
Filename: ardppsrsmt11.csv,,,,,,,,,,
"Table 11. Percent of arrest-related deaths, by reason for initial law enforcement contact as reported by responding agencies, June-August 2015",,,,,,,,,,
Report title: Arrest-Related Deaths Program: Pilot Study of Redesigned Survey Methodology  NCJ 252675,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Arrest-Related Deaths Program-Redesign Study, 2015",,,,,,,,,,
"Author: Connor Brooks and Kevin M. Scott, Ph.D., BJS Statisticians",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or (202) 307-0765,,,,,,,,,,
Date of version: 07/30/2019,,,,,,,,,,
,,,,,,,,,,
"Table 11. Percent of arrest-related deaths, by reason for initial law enforcement contact as reported by responding agencies, June-August 2015",,,,,,,,,,
,,,,,Manner of death,,,,,
Reason for initial contact,,All manners of death,,,Homicide/a,,Suicide,,Other,
,Total number of deaths,303,,,211,,43,,39,
,All arrest-related deaths,100,%,,100,%,100,%,100,%
Request for law enforcement response to criminal/suspicious activity/b,,49.8,,,50.2,,55.8,,41,
Request for medical/mental health/welfare assistance/b,,11.2,,,10.4,,11.6,,17.9,
Traffic/vehicle stop,,10.9,,,8.5,,7,,25.6,
Routine patrol,,6.6,,,7.6,,2.3,,2.6,
Warrant service,,6.9,,,6.2,,9.3,,7.7,
Some other reason,,12.2,,,13.7,,14,,5.1,
Unknown,,1,,,1.4,,0,,0,
Item missing,,1.3,,,1.9,,0,,0,
Note: Details may not sum to totals due to rounding. Manner of death was missing for 10 arrest-related deaths. CJ-11A forms were missing for 121 of the 424 arrest-related deaths. ,,,,,,,,,,
a/Homicide is the willful killing of one person by another and includes justifiable homicide by a law enforcement officer. ,,,,,,,,,,
b/Request could have been made by decedent or other individual.,,,,,,,,,,
"Source: Bureau of Justice Statistics, Arrest-Related Deaths Program- Redesign Study, 2015.",,,,,,,,,,
