Bureau of Justice Statistics,,,,,,,,,,,,,,
Filename: ardppsrsmt12.csv,,,,,,,,,,,,,,
"Table 12. Percent of arrest-related deaths, by alleged crimes committed by decedent and manner of death, as reported by responding agencies, June-August 2015",,,,,,,,,,,,,,
Report title: Arrest-Related Deaths Program: Pilot Study of Redesigned Survey Methodology  NCJ 252675,,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Arrest-Related Deaths Program-Redesign Study, 2015",,,,,,,,,,,,,,
"Author: Connor Brooks and Kevin M. Scott, Ph.D., BJS Statisticians",,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or (202) 307-0765,,,,,,,,,,,,,,
Date of version: 07/30/2019,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Table 12. Percent of arrest-related deaths, by alleged crimes committed by decedent and manner of death, as reported by responding agencies, June-August 2015",,,,,,,,,,,,,,
,,,,,,,Manner of death,,,,,,,
During events up to death any crime,,,,All manners of death,,,Homicide/a,,,Suicide,,,Other,
,Total deaths,,,303,,,211,,,43,,,39,
Deceased committed or allegedly committed any crime,,,,93.4,%,,96.7,%,,88.4,%,,82.1,%
,Most serious alleged offense:,,,,,,,,,,,,,
,,Violent,,73.5,,,82.4,,,68.4,,,34.4,
,,,Homicide,7.8,,,7.4,,,15.8,,,3.1,
,,,Attempted homicide,10.6,,,12.3,,,13.2,,,0,
,,,Robbery,6.7,,,6.9,,,5.3,,,3.1,
,,,Assault,39.2,,,46.6,,,26.3,,,15.6,
,,,Other violent/b,9.2,,,9.3,,,7.9,,,12.5,
,,Property/c,,6.7,,,3.9,,,15.8,,,9.4,
,,Drug,,2.8,,,2,,,2.6,,,9.4,
,,Weapon,,4.6,,,4.4,,,5.3,,,6.3,
,,Public order/other/d,,9.9,,,5.9,,,5.3,,,31.3,
,,Unknown/no alleged offense,,2.5,,,1.5,,,2.6,,,9.4,
Deceased did not commit or allegedly commit any crimes,,,,5.9,%,,2.8,%,,11.6,%,,15.4,%
Missing,,,,0.7,%,,0.5,%,,0,%,,2.6,%
Note: Details may not sum to totals due to rounding. Manner of death was missing for 10 arrest-related deaths. CJ-11A forms were missing for 121 of the 424 arrest-related deaths. ,,,,,,,,,,,,,,
a/Homicide is the willful killing of one person by another and includes justifiable homicide by a law enforcement officer.,,,,,,,,,,,,,,
"b/Includes other violent offenses, kidnapping, and carjacking.",,,,,,,,,,,,,,
"c/Includes burglary, larceny, or other property offenses.",,,,,,,,,,,,,,
"d/Includes traffic violation, resisting arrest, or other public-order offenses.",,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Arrest-Related Deaths Program-Redesign Study, 2015.",,,,,,,,,,,,,,
