Bureau of Justice Statistics,,,,,,,
Filename: ardppsrsmt13.csv,,,,,,,
"Table 13. Decedent actions during death-incident, June-August 2015",,,,,,,
Report title: Arrest-Related Deaths Program: Pilot Study of Redesigned Survey Methodology  NCJ 252675,,,,,,,
"Data source: Bureau of Justice Statistics, Arrest-Related Deaths Program-Redesign Study, 2015",,,,,,,
"Author: Connor Brooks and Kevin M. Scott, Ph.D., BJS Statisticians",,,,,,,
Refer questions to: askbjs@usdoj.gov or (202) 307-0765,,,,,,,
Date of version: 07/30/2019,,,,,,,
,,,,,,,
"Table 13. Decedent actions during death-incident, June-August 2015",,,,,,,
Decedent action,,Homicide/a,,Suicide,,Other,
,Total deaths,211,,43,,39,
Was armed/appeared to be armed,,89.1,%,97.7,%,17.9,%
Attempted to physically assault officers/others/b,,82.9,,32.6,,41,
Attempted to or did escape/flee from custody,,41.7,,46.5,,51.3,
Resisted being handcuffed/arrested,,30.8,,18.6,,46.2,
Verbally threatened others,,30.3,,20.9,,17.9,
Discharged firearm,,28.4,,76.7,,5.1,
Barricaded self/initiated standoff,,22.3,,41.9,,2.6,
Attempted to gain possession of officer’s weapon,,4.3,,2.3,,0,
Note: Details may not sum to totals due to rounding. Manner of death was missing for 10 arrest-related deaths. CJ-11A forms were missing for 121 of the 424 arrest-related deaths. ,,,,,,,
a/Homicide is the willful killing of one person by another and includes justifiable homicide by a law enforcement officer.,,,,,,,
"b/Includes a yes response to either: At any time during the incident, did the decedent attempt to (1) injure officers or others, or (2) physically assault officers?",,,,,,,
"Source: Bureau of Justice Statistics, Arrest-Related Deaths Program-Redesign Study, 2015.",,,,,,,
