Bureau of Justice Statistics,,,,,,,,
Filename: ardppsrsmt16.csv,,,,,,,,
"Table 16. Deaths identified by the Arrest-Related Deaths program pilot-study compared to those found in The Guardian and The Washington Post, June-August 2015",,,,,,,,
Report title: Arrest-Related Deaths Program: Pilot Study of Redesigned Survey Methodology  NCJ 252675,,,,,,,,
"Data source: Bureau of Justice Statistics, Arrest-Related Deaths Program-Redesign Study, 2015",,,,,,,,
"Author: Connor Brooks and Kevin M. Scott, Ph.D., BJS Statisticians",,,,,,,,
Refer questions to: askbjs@usdoj.gov or (202) 307-0765,,,,,,,,
Date of version: 07/30/2019,,,,,,,,
,,,,,,,,
"Table 16. Deaths identified by the Arrest-Related Deaths program pilot-study compared to those found in The Guardian and The Washington Post, June-August 2015",,,,,,,,
Manner of death,,,,Found in The Washington Post,,,Found in The Guardian,
,,Total media-identified deaths,,Yes,No,,Yes,No
,All deaths,376,,262,114,,290,86
Natural causes,,1,,0,1,,0,1
Homicide*,,267,,255,12,,263,4
Accident,,27,,0,27,,10,17
Suicide,,62,,5,57,,5,57
Could not be determined,,8,,2,6,,7,1
Investigation incomplete,,0,,0,0,,0,0
Unknown,,11,,0,11,,5,6
*Homicide is the willful killing of one person by another and includes justifiable homicide by a law enforcement officer. ,,,,,,,,
"Source: Bureau of Justice Statistics, Arrest-Related Deaths Program-Redesign Study, 2015.",,,,,,,,
